symbol,price
ETHBTC,0.097499
LTCBTC,0.01829
BNBBTC,0.0010521
NEOBTC,0.012745
123456,0.0003
QTUMETH,0.033488
EOSETH,0.010547
SNTETH,0.00024504
BNTETH,0.005947
BCCBTC,0.141944
GASBTC,0.004549
BNBETH,0.010785
BTCUSDT,8600.0
ETHUSDT,838.1
HSRBTC,0.001378
OAXETH,0.0010276
DNTETH,0.00010449
MCOETH,0.009163
ICNETH,0.0018873
MCOBTC,0.0009
WTCBTC,0.0024735
WTCETH,0.025287
LRCBTC,7.422e-5
LRCETH,0.00076098
QTUMBTC,0.003275
YOYOBTC,1.739e-5
OMGBTC,0.001456
OMGETH,0.014918
ZRXBTC,0.00011604
ZRXETH,0.001191
STRATBTC,0.000909
STRATETH,0.009312
SNGLSBTC,1.692e-5
SNGLSETH,0.000174
BQXBTC,0.00045518
BQXETH,0.004651
KNCBTC,0.00031405
KNCETH,0.0032123
FUNBTC,6.04e-6
FUNETH,6.196e-5
SNMBTC,2.521e-5
SNMETH,0.00025858
NEOETH,0.130847
IOTABTC,0.000206
IOTAETH,0.00211081
LINKBTC,5.688e-5
LINKETH,0.000583
XVGBTC,6.18e-6
XVGETH,6.336e-5
CTRBTC,0.00010638
CTRETH,0.0010889
SALTBTC,0.000484
SALTETH,0.004986
MDABTC,0.00014885
MDAETH,0.0015184
MTLBTC,0.000443
MTLETH,0.004513
SUBBTC,8.247e-5
SUBETH,0.00084583
EOSBTC,0.00102853
SNTBTC,2.385e-5
ETCETH,0.033507
ETCBTC,0.003268
MTHBTC,1.732e-5
MTHETH,0.00017798
ENGBTC,0.00035745
ENGETH,0.0036652
DNTBTC,1.025e-5
ZECBTC,0.051124
ZECETH,0.52439
BNTBTC,0.00058102
ASTBTC,6.464e-5
ASTETH,0.0006618
DASHBTC,0.069888
DASHETH,0.71581
OAXBTC,0.00010031
ICNBTC,0.00018499
BTGBTC,0.013148
BTGETH,0.135202
EVXBTC,0.00019995
EVXETH,0.0020423
REQBTC,3.253e-5
REQETH,0.00033274
VIBBTC,2.973e-5
VIBETH,0.00030596
HSRETH,0.014193
TRXBTC,5.09e-6
TRXETH,5.227e-5
POWRBTC,8.672e-5
POWRETH,0.00088978
ARKBTC,0.0004675
ARKETH,0.004788
YOYOETH,0.00017842
XRPBTC,0.00011765
XRPETH,0.00120735
MODBTC,0.0004505
MODETH,0.004642
ENJBTC,1.676e-5
ENJETH,0.00017171
STORJBTC,0.00011939
STORJETH,0.0012177
BNBUSDT,9.0458
VENBNB,0.4602
YOYOBNB,0.01654
POWRBNB,0.08339
VENBTC,0.0004855
VENETH,0.00497891
KMDBTC,0.0004603
KMDETH,0.004704
NULSBNB,0.25602
RCNBTC,2.142e-5
RCNETH,0.00021794
RCNBNB,0.0203
NULSBTC,0.00026858
NULSETH,0.0027545
RDNBTC,0.00031177
RDNETH,0.0032156
RDNBNB,0.30081
XMRBTC,0.027701
XMRETH,0.28385
DLTBNB,0.04935
WTCBNB,2.3363
DLTBTC,5.187e-5
DLTETH,0.00052796
AMBBTC,5.856e-5
AMBETH,0.00060111
AMBBNB,0.0554
BCCETH,1.45276
BCCUSDT,1220.09
BCCBNB,134.94
BATBTC,4.233e-5
BATETH,0.00043128
BATBNB,0.03988
BCPTBTC,6.239e-5
BCPTETH,0.00063551
BCPTBNB,0.0593
ARNBTC,0.00019087
ARNETH,0.0019542
GVTBTC,0.0018467
GVTETH,0.018712
CDTBTC,9.8e-6
CDTETH,0.00010042
GXSBTC,0.0005366
GXSETH,0.0055
NEOUSDT,109.62
NEOBNB,12.134
POEBTC,7.8e-6
POEETH,8.001e-5
QSPBTC,3.368e-5
QSPETH,0.00034605
QSPBNB,0.03211
BTSBTC,2.753e-5
BTSETH,0.00028066
BTSBNB,0.02626
XZCBTC,0.006419
XZCETH,0.06587
XZCBNB,6.154
LSKBTC,0.0031637
LSKETH,0.032459
LSKBNB,3.0139
TNTBTC,1.694e-5
TNTETH,0.00017131
FUELBTC,1.29e-5
FUELETH,0.00013162
MANABTC,1.361e-5
MANAETH,0.00013898
BCDBTC,0.004614
BCDETH,0.04744
DGDBTC,0.026419
DGDETH,0.27118
IOTABNB,0.19755
ADXBTC,0.00014284
ADXETH,0.0014643
ADXBNB,0.13626
ADABTC,4.092e-5
ADAETH,0.00041916
PPTBTC,0.0031636
PPTETH,0.032576
CMTBTC,2.033e-5
CMTETH,0.00020703
CMTBNB,0.0192
XLMBTC,4.393e-5
XLMETH,0.00044987
XLMBNB,0.04178
CNDBTC,2.004e-5
CNDETH,0.0002056
CNDBNB,0.01907
LENDBTC,9.42e-6
LENDETH,9.659e-5
WABIBTC,0.00017542
WABIETH,0.00180305
WABIBNB,0.16648
LTCETH,0.18722
LTCUSDT,157.24
LTCBNB,17.39
TNBBTC,8.25e-6
TNBETH,8.447e-5
WAVESBTC,0.0006486
WAVESETH,0.006649
WAVESBNB,0.6129
GTOBTC,4.245e-5
GTOETH,0.00043442
GTOBNB,0.0403
ICXBTC,0.0004702
