"symbol","from_symbol","to_symbol"
"ETHBTC","BTC","ETH"
"LTCBTC","BTC","LTC"
"BNBBTC","BTC","BNB"
"NEOBTC","BTC","NEO"
"QTUMETH","ETH","QTUM"
"EOSETH","ETH","EOS"
"SNTETH","ETH","SNT"
"BNTETH","ETH","BNT"
"BCCBTC","BTC","BCC"
"GASBTC","BTC","GAS"
"BNBETH","ETH","BNB"
"BTCUSDT","USDT","BTC"
"ETHUSDT","USDT","ETH"
"HSRBTC","BTC","HSR"
"OAXETH","ETH","OAX"
"DNTETH","ETH","DNT"
"MCOETH","ETH","MCO"
"ICNETH","ETH","ICN"
"MCOBTC","BTC","MCO"
"WTCBTC","BTC","WTC"
"WTCETH","ETH","WTC"
"LRCBTC","BTC","LRC"
"LRCETH","ETH","LRC"
"QTUMBTC","BTC","QTUM"
"YOYOBTC","BTC","YOYO"
"OMGBTC","BTC","OMG"
"OMGETH","ETH","OMG"
"ZRXBTC","BTC","ZRX"
"ZRXETH","ETH","ZRX"
"STRATBTC","BTC","STRAT"
"STRATETH","ETH","STRAT"
"SNGLSBTC","BTC","SNGLS"
"SNGLSETH","ETH","SNGLS"
"BQXBTC","BTC","BQX"
"BQXETH","ETH","BQX"
"KNCBTC","BTC","KNC"
"KNCETH","ETH","KNC"
"FUNBTC","BTC","FUN"
"FUNETH","ETH","FUN"
"SNMBTC","BTC","SNM"
"SNMETH","ETH","SNM"
"NEOETH","ETH","NEO"
"IOTABTC","BTC","IOTA"
"IOTAETH","ETH","IOTA"
"LINKBTC","BTC","LINK"
"LINKETH","ETH","LINK"
"XVGBTC","BTC","XVG"
"XVGETH","ETH","XVG"
"CTRBTC","BTC","CTR"
"CTRETH","ETH","CTR"
"SALTBTC","BTC","SALT"
"SALTETH","ETH","SALT"
"MDABTC","BTC","MDA"
"MDAETH","ETH","MDA"
"MTLBTC","BTC","MTL"
"MTLETH","ETH","MTL"
"SUBBTC","BTC","SUB"
"SUBETH","ETH","SUB"
"EOSBTC","BTC","EOS"
"SNTBTC","BTC","SNT"
"ETCETH","ETH","ETC"
"ETCBTC","BTC","ETC"
"MTHBTC","BTC","MTH"
"MTHETH","ETH","MTH"
"ENGBTC","BTC","ENG"
"ENGETH","ETH","ENG"
"DNTBTC","BTC","DNT"
"ZECBTC","BTC","ZEC"
"ZECETH","ETH","ZEC"
"BNTBTC","BTC","BNT"
"ASTBTC","BTC","AST"
"ASTETH","ETH","AST"
"DASHBTC","BTC","DASH"
"DASHETH","ETH","DASH"
"OAXBTC","BTC","OAX"
"ICNBTC","BTC","ICN"
"BTGBTC","BTC","BTG"
"BTGETH","ETH","BTG"
"EVXBTC","BTC","EVX"
"EVXETH","ETH","EVX"
"REQBTC","BTC","REQ"
"REQETH","ETH","REQ"
"VIBBTC","BTC","VIB"
"VIBETH","ETH","VIB"
"HSRETH","ETH","HSR"
"TRXBTC","BTC","TRX"
"TRXETH","ETH","TRX"
"POWRBTC","BTC","POWR"
"POWRETH","ETH","POWR"
"ARKBTC","BTC","ARK"
"ARKETH","ETH","ARK"
"YOYOETH","ETH","YOYO"
"XRPBTC","BTC","XRP"
"XRPETH","ETH","XRP"
"MODBTC","BTC","MOD"
